名称,名称かな,所在地,設置位置,経度,緯度
久米公民館 鷹子分館,くめこうみんかんたかのこぶんかん,愛媛県松山市鷹子町632-1,玄関ロビー×1,132.8117805,33.81278004
久米児童館,くめじどうかん,愛媛県松山市鷹子町4-4,1階事務室内×1,132.8061834,33.81009088
久米小学校,くめしょうがっこう,愛媛県松山市鷹子町15-1,職員室×1、体育館×1、保健室×1,132.8066675,33.81019531
久米第1児童クラブ,くめだいいちじどうくらぶ,愛媛県松山市鷹子町15-1,児童クラブ内×1,132.8072757,33.81011984
久米中学校,くめちゅうがっこう,愛媛県松山市来住町689,西玄関×1、体育館×1、職員室×1,132.8021399,33.8025527
久米保育園,くめほいくえん,愛媛県松山市鷹子町4-4,事務室×1,132.8062507,33.81018029
久米南団地,くめみなみだんち,愛媛県松山市来住町1207,団地管理人室内×1,132.7970622,33.80480209
桑原公民館,くわばらこうみんかん,愛媛県松山市桑原2丁目6-35,玄関ロビー×1,132.7920909,33.83554596
桑原児童クラブ,くわばらじどうくらぶ,愛媛県松山市桑原3丁目7-27,児童クラブ内×1,132.7937979,33.83564733
桑原小学校,くわばらしょうがっこう,愛媛県松山市桑原3丁目7-27,職員室×1、体育館×1、保健室×1,132.793968,33.83549616
桑原中学校,くわばらちゅうがっこう,愛媛県松山市畑寺町丙238-28,職員室×1、体育館×1、保健室×1,132.8064074,33.83691327
桑原保育園,くわばらほいくえん,愛媛県松山市桑原4丁目10-22,事務室×1,132.7945711,33.83263409
河野公民館,こうのこうみんかん,愛媛県松山市河野別府182-1,玄関×1,132.7814332,33.94981233
河野小学校,こうのしょうがっこう,愛媛県松山市宮内甲9-1,職員室×1、体育館×1、保健室×1,132.7849753,33.95043197
河野第1児童クラブ,こうのだいいちじどうくらぶ,愛媛県松山市宮内甲9-1,児童クラブ内×1,132.786065,33.95030305
河野保育園,こうのほいくえん,愛媛県松山市河野別府196,廊下衛生用品棚×1,132.7814065,33.95046779
興居島小学校,ごごしましょうがっこう,愛媛県松山市泊町甲425-3,職員室前玄関×1、保健室×1,132.6710081,33.8938992
興居島中学校,ごごしまちゅうがっこう,愛媛県松山市泊町甲425-3,体育館×1、運動場体育倉庫×1,132.6710081,33.8938992
興居島分団 馬磯ポンプ蔵置所,ごごしまぶんだんうまいそぽんぷぞうちしょ,愛媛県松山市門田町地先,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6964093,33.92292443
興居島分団 門田ポンプ蔵置所,ごごしまぶんだんかどたぽんぷぞうちしょ,愛媛県松山市門田町92-1,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6856495,33.90312558
興居島分団 北浦ポンプ蔵置所,ごごしまぶんだんきたうらぽんぷぞうちしょ,愛媛県松山市由良町55-5,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6797964,33.91141519
興居島分団 泊ポンプ蔵置所,ごごしまぶんだんとまりぽんぷぞうちしょ,愛媛県松山市泊町615地先,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6809567,33.88078277
興居島分団 御手洗ポンプ蔵置所,ごごしまぶんだんみたらいぽんぷぞうちしょ,愛媛県松山市泊町91-2,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6695552,33.87293192
興居島分団 由良ポンプ蔵置所,ごごしまぶんだんゆらぽんぶぞうちしょ,愛媛県松山市由良町1220,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6813302,33.90308654
興居島分団 鷲ヶ巣ポンプ蔵置所,ごごしまぶんだんわしがすぽんぷぞうちしょ,愛媛県松山市由良町350,消防ﾎﾟﾝﾌﾟ蔵置所内×1,132.6664794,33.90121607
小富士保育園,こふじほいくえん,愛媛県松山市三津2丁目7-16,事務室×1,132.7114007,33.86374409
五明公民館,ごみょうこうみんかん,愛媛県松山市菅沢町甲247-1,事務室×1,132.8135225,33.90325134
五明小学校,ごみょうしょうがっこう,愛媛県松山市菅沢町乙45-4,玄関×1、体育館×1、保健室×1,132.8185245,33.90326958
五明幼稚園,ごみょうようちえん,愛媛県松山市菅沢町乙45-4,職員室×1、プール横保育室×1,132.8185245,33.90326958
済生会松山乳児保育園,さいせいかいまつやまにゅうじほいくえん,愛媛県松山市祓川2丁目5-26,事務室×1,132.7199401,33.86008707
坂の上の雲ミュージアム,さかのうえのくもみゅーじあむ,愛媛県松山市一番町3丁目20,2階入口付近×1,132.7692125,33.84176827
さかのうえ保育園 小坂園,さかのうえほいくえんこさかえん,愛媛県松山市小坂2丁目1-32,玄関ロビー×1,132.7827912,33.83248262
さかのうえ保育園 小規模保育園 溝辺園,さかのうえほいくえんしょうきぼほいくえんみぞのべえん,愛媛県松山市溝辺町甲293-1,玄関×1,132.8033183,33.84883454
坂本公民館,さかもとこうみんかん,愛媛県松山市久谷町70,通路×1,132.8261222,33.74776904
坂本小学校,さかもとしょうがっこう,愛媛県松山市久谷町30,職員室×1、体育館×1、保健室×1,132.8258,33.74945394
坂本幼稚園,さかもとようちえん,愛媛県松山市久谷町24,職員室×1,132.8249201,33.74945392
さくら小学校,さくらしょうがっこう,愛媛県松山市余戸中4丁目11-1,職員室×1、体育館×1、保健室×1,132.7280723,33.81862043
さくら第1児童クラブ,さくらだいいちじどうくらぶ,愛媛県松山市余戸中4丁目11-1,児童クラブ内×1,132.7283944,33.81815828
さくら第2児童クラブ,さくらだいにじどうくらぶ,愛媛県松山市余戸中4丁目11-1,児童クラブ内×1,132.7283944,33.81815828
小百合保育園,さゆりほいくえん,愛媛県松山市溝辺町甲528,事務室×1,132.8063422,33.8530409
三光団地,さんこうだんち,愛媛県松山市太山寺町333-1,団地集会所×1,132.7360864,33.87764445
三福5Starインターナショナル保育園,さんぷくふぁいぶすたーいんたーなしょなるほいくえん,愛媛県松山市中村2丁目1-3 三福住まいの体感プラザ2階,事務室×1,132.7788314,33.83184859
三福5starプリスクール中村,さんぷくふぁいぶすたーぷりすくーるなかむら,愛媛県松山市中村2丁目1-3 三福住まいの体感プラザ2階,玄関ロビー×1,132.7787532,33.83213432
しおかぜ児童クラブ,しおかぜじどうクラブ,愛媛県松山市梅津寺町1352-2,児童クラブ内×1,132.7079857,33.87619218
潮見公民館,しおみこうみんかん,愛媛県松山市吉藤4丁目3-16,玄関ロビー×1,132.7546511,33.87255073
潮見小学校,しおみしょうがっこう,愛媛県松山市吉藤4丁目7-13,職員室×1、保健室×1、体育館×1、運動場×1,132.7551652,33.87463212
潮見団地,しおみだんち,愛媛県松山市谷町34,団地集会所×1,132.7551178,33.87606455
潮見保育園,しおみほいくえん,愛媛県松山市谷町49,事務室×1,132.7523497,33.87654668
子規記念博物館,しききねんはくぶつかん,愛媛県松山市道後公園1-30,2階受付×1,132.7871374,33.8496964
