名称,名称かな,所在地,設置位置,経度,緯度
松山保育園,まつやまほいくえん,愛媛県松山市中村3丁目5-29,事務室×1,132.7756201,33.83051782
松山リエール保育園,まつやまりえーるほいくえん,愛媛県松山市大手町2丁目1-3,保育倉庫×1,132.7548548,33.8390959
まつやまRe・再来館（りっくる）,まつやまりさいくるかん（りっくる）,愛媛県松山市空港通1丁目1-32,南棟内×1,132.7508561,33.82754597
松山リハビリテーション病院院内保育室,まつやまりはびりてーしょんびょういんいんないほいくしつ,愛媛県松山市高井町1211,院内保育室×1,132.8082617,33.79991569
ミキ・スタディー・パルズ インターナショナルスクール,みきすたでぃーぱるずいんたーなしょなるすくーる,愛媛県松山市中央1丁目12-15,事務所×1,132.7512003,33.85538666
味酒公民館,みさけこうみんかん,愛媛県松山市松前町5丁目1-6,玄関ロビー×1,132.7578218,33.84971004
味酒小学校,みさけしょうがっこう,愛媛県松山市宮西2丁目2-21,職員室×1、体育館×1、保健室×1,132.7528605,33.84780946
味酒第1児童クラブ,みさけだいいちじどうくらぶ,愛媛県松山市宮西2丁目2-21,児童クラブ内×1,132.753806,33.84780393
味酒第2児童クラブ,みさけだいにじどうくらぶ,愛媛県松山市宮西2丁目2-21,児童クラブ内×1,132.753806,33.84780393
溝辺ふれあいセンター,みぞのべふれあいせんたー,愛媛県松山市溝辺町甲565-2,玄関ロビー×1,132.8059187,33.85209096
道の駅 風早の郷「風和里」,みちのえきかざはやのさと「ふわり」,愛媛県松山市大浦119,特産品売場×1,132.7720847,33.99659153
三津口団地,みつくちだんち,愛媛県松山市萱町6丁目100,団地集会所×1,132.7554627,33.85385179
三津浜公民館,みつはまこうみんかん,愛媛県松山市三津3丁目2-30,玄関×1,132.7147941,33.86156562
三津浜小学校,みつはましょうがっこう,愛媛県松山市梅田町2-42,職員室前廊下×1、体育館×1、保健室×1,132.7152003,33.85972921
三津浜中学校,みつはまちゅうがっこう,愛媛県松山市若葉町8-48,職員室×1、体育館×1、保健室×1,132.7181287,33.8567688
三津浜図書館,みつはまとしょかん,愛媛県松山市住吉2丁目4-12,1階入り口付近×1,132.7142811,33.86319846
三津浜幼稚園,みつはまようちえん,愛媛県松山市神田町1-41,職員室×1、ホール前×1,132.7189636,33.8611698
緑ヶ浜保育園,みどりがはまほいくえん,愛媛県松山市勝岡町2613-4,事務室×1,132.7250449,33.89886717
みどり小学校,みどりしょうがっこう,愛媛県松山市西長戸町493-2,職員室×1、体育館×1、保健室×1,132.7386502,33.86609095
みどり第2児童クラブ,みどりだいにじどうくらぶ,愛媛県松山市西長戸町493-2,児童クラブ内×1,132.7404353,33.86665421
南江戸団地,みなみえどだんち,愛媛県松山市南江戸6丁目3-5 外,団地集会所×1,132.7390947,33.83921182
南消防署,みなみしょうぼうしょ,愛媛県松山市北土居3丁目3-26,1階受付×1,132.785604,33.80194582
南消防署 久谷救急出張所,みなみしょうぼうしょくたにきゅうきゅうしゅっちょうしょ,愛媛県松山市東方町甲952-1,1階事務所×1,132.8157275,33.76782865
南消防署 東部支署,みなみしょうぼうしょとうぶししょ,愛媛県松山市平井町甲3280-7,1階受付×1,132.8191632,33.80619319
南第二中学校,みなみだいにちゅうがっこう,愛媛県松山市森松町943,職員室×1、体育館×1、保健室×1,132.7928083,33.79512427
南高井保育園,みなみたかいほいくえん,愛媛県松山市南高井町1389-1,職員室×1,132.8093537,33.79273867
南中学校,みなみちゅうがっこう,愛媛県松山市東石井7丁目2-52,職員室×2、体育館×1,132.7759808,33.80753235
南保育園,みなみほいくえん,愛媛県松山市東方町甲2240,職員室×1,132.8219871,33.77708592
味生公民館,みぶこうみんかん,愛媛県松山市別府町177-1,玄関ロビー×1,132.7261427,33.84375028
味生児童館,みぶじどうかん,愛媛県松山市別府町177-1,1階事務室内×1,132.7260866,33.84385145
味生小学校,みぶしょうがっこう,愛媛県松山市別府町166-4,職員室前×1、体育館×1、保健室×1,132.7256763,33.84481162
味生第1児童クラブ,みぶだいいちじどうくらぶ,愛媛県松山市別府町166-4 味生小学校内,児童クラブ内×1,132.7249994,33.84498206
味生第5児童クラブ,みぶだいごじどうくらぶ,愛媛県松山市別府町166-4 味生小学校内,児童クラブ内×1,132.7249994,33.84498206
味生第二Ａ児童クラブ,みぶだいにえーじどうくらぶ,愛媛県松山市別府町3-1,児童クラブ内×1,132.7294235,33.84439612
味生第二C児童クラブ,みぶだいにしーじどうくらぶ,愛媛県松山市別府町177-1 味生ふれあいセンター,児童クラブ内×1,132.7261471,33.84373835
味生第二小学校,みぶだいにしょうがっこう,愛媛県松山市別府町3-1,体育倉庫×1、体育館×1、職員室×1,132.7281616,33.84428681
味生保育園,みぶほいくえん,愛媛県松山市北斎院町759-1,事務室×1,132.7249309,33.84300601
味生保育園分室,みぶほいくえんんぶんしつ,愛媛県松山市別府町166-4,事務室×1,132.7253388,33.84495827
宮前公民館,みやまえこうみんかん,愛媛県松山市古三津1丁目26-48,玄関×1,132.7248472,33.86019273
宮前小学校,みやまえしょうがっこう,愛媛県松山市祓川1丁目3-39,職員室×1、体育館×1、保健室×1,132.7200731,33.8594905
宮前第1児童クラブ,みやまえだいいちじどうくらぶ,愛媛県松山市祓川2丁目5-8,児童クラブ内×1,132.7195676,33.86012404
宮前第2児童クラブ,みやまえだいにじどうくらぶ,愛媛県松山市祓川1丁目3-39,児童クラブ内×1,132.7204511,33.85951544
もものはなこども園,もものはなこどもえん,愛媛県松山市由良町479,玄関×1,132.674073,33.90187606
もりもりキッズ,もりもりきっず,愛媛県松山市苞木甲200,事務室×1,132.77577,33.94136051
野外活動センター（管理棟）,やがいかつどうせんたー（かんりとう）,愛媛県松山市菅沢町乙280,ロビー×1,132.810237,33.9152112
野外活動センター（キャンプオフィス）,やがいかつどうせんたー（きゃんぷおふぃす）,愛媛県松山市菅沢町乙280,事務室×1,132.812427,33.91772556
野外活動センター （グランド管理棟）,やがいかつどうせんたー（ぐらんどかんりとう）,愛媛県松山市菅沢町乙280,ロビー×1,132.8115145,33.91772045
野外活動センター （体育館）,やがいかつどうせんたー（たいいくかん）,愛媛県松山市菅沢町乙280,ホール×1,132.8110407,33.91780796
夜間保育所ふくろうの家,やかんほいくしょふくろうのいえ,愛媛県松山市久万ノ台173,保育室内キッチン×1,132.7469407,33.85785095
八雲保育園,やくもほいくえん,愛媛県松山市此花町1-8,事務室×1,132.7810086,33.8403772
八坂公民館,やさかこうみんかん,愛媛県松山市三番町1丁目3-2,玄関×1,132.7725275,33.83732647
八坂児童クラブ,やさかじどうくらぶ,愛媛県松山市湯渡町4-20,児童クラブ内×1,132.7823433,33.84032266
八坂小学校,やさかしょうがっこう,愛媛県松山市湯渡町4-20,職員室×1、体育館×1、保健室×1,132.7824428,33.83972594
山狩団地,やまがりだんち,愛媛県松山市中島大浦3156,階段上り口横壁×1,132.6253041,33.97342141
山越団地,やまごえだんち,愛媛県松山市山越1丁目6-1 外,団地集会所×1,132.7578453,33.85740286
山越保育園,やまごえほいくえん,愛媛県松山市山越1丁目19-40,事務室×1,132.755415,33.85649904
山西団地,やまにしだんち,愛媛県松山市山西町169-2,団地集会所×1,132.7301026,33.85187797
雄郡公民館,ゆうぐんこうみんかん,愛媛県松山市小栗3丁目5-24,玄関ロビー×1,132.7594321,33.8279077
雄郡小学校,ゆうぐんしょうがっこう,愛媛県松山市土橋町1,3校舎玄関、体育館×1、職員室×1,132.7582483,33.83156435
雄郡第1児童クラブ,ゆうぐんだいいちじどうくらぶ,愛媛県松山市藤原町618-1,児童クラブ内×1,132.7594069,33.83188689
雄郡第2児童クラブ,ゆうぐんだいにじどうくらぶ,愛媛県松山市土橋町1,児童クラブ内×1,132.7574691,33.83187521
雄新中学校,ゆうしんちゅうがっこう,愛媛県松山市土居田町1,体育館1F×1、柔剣道場1階、保健室×1,132.7537009,33.82476902
ユーミー保育園たかのこ,ゆーみーほいくえんたかのこ,愛媛県松山市鷹子町407-1,事務室兼職員室の入口横・正面玄関側×1,132.8187122,33.81228215
湯月公園テニスコート,ゆづきこうえんてにすこーと,愛媛県松山市道後姫塚140-1,事務室×1,132.7906377,33.85033337
湯築小学校,ゆづきしょうがっこう,愛媛県松山市道後北代10-41,職員室×1、体育館×1、保健室×1,132.7776753,33.85426673
湯築第1児童クラブ,ゆづきだいいちじどうくらぶ,愛媛県松山市道後北代10-41,児童クラブ内×1,132.7781103,33.8531254
湯築第2児童クラブ,ゆづきだいにじどうくらぶ,愛媛県松山市道後北代10-41,児童クラブ内×1,132.7781372,33.85355877
湯山公民館,ゆやまこうみんかん,愛媛県松山市末町甲94-1,玄関×1,132.8176504,33.8639689
湯山小学校,ゆやましょうがっこう,愛媛県松山市食場町甲128,職員室×2、体育館×1,132.8136454,33.86025139
湯山第3児童クラブ,ゆやまだいさんじどうくらぶ,愛媛県松山市食場町甲128,児童クラブ内×1,132.8147134,33.86056412
湯山第2児童クラブ,ゆやまだいにじどうくらぶ,愛媛県松山市食場町甲128,児童クラブ内×1,132.8146316,33.86109088
湯山中学校,ゆやまちゅうがっこう,愛媛県松山市溝辺町甲508-1,職員室×1、体育館×1、特別棟×1、運動場×1,132.8072882,33.85362388
由良公民館,ゆらこうみんかん,愛媛県松山市由良町1048-2,玄関ロビー×1,132.6806662,33.90360039
湯渡団地,ゆわたりだんち,愛媛県松山市紅葉町3-66 外,2棟掃除用具入れ横×1,132.7881496,33.84148334
余戸おとのわ保育園,ようごおとのわほいくえん,愛媛県松山市余戸東4丁目2-10,玄関×1,132.7347702,33.81576456
養護老人ホーム 江南荘,ようごろうじんほーむこうなんそう,愛媛県松山市恵原町甲880,1階医務室×1,132.8142769,33.76872412
幼保連携型認定こども園 愛隣こども園,ようほれんけいがたにんていこどもえんあいりんこどもえん,愛媛県松山市三津3丁目6-30,医務室×1,132.7133782,33.86239048
幼保連携型認定こども園 虹のそらこども園,ようほれんけいがたにんていこどもえんにじのそらこどもえん,愛媛県松山市朝生田6丁目2-24,玄関ホール×1,132.7669247,33.82073648
幼保連携型認定こども園 法龍寺こども園,ようほれんけいがたにんていこどもえんほうりゅうじこどもえん,愛媛県松山市柳井町3丁目8-14,玄関内受付×1,132.764853,33.83469003
幼保連携型認定こども園 三葉幼稚園,ようほれんけいがたにんていこどもえんみつばようちえん,愛媛県松山市山西町447,1階事務内×1,132.729022,33.85242585
幼保連携型認定こども園 未来こども園,ようほれんけいがたにんていこどもえんみらいこどもえん,愛媛県松山市来住町730-4,事務室×1,132.8003442,33.80414557
幼保連携型認定こども園 未来夢こども園,ようほれんけいがたにんていこどもえんみらいゆめこどもえん,愛媛県松山市北井門5丁目2-2,事務室×1,132.7720598,33.80358116
幼保連携型認定こども園 ゆめの森こども園,ようほれんけいがたにんていこどもえんゆめのもりこどもえん,愛媛県松山市雄郡1丁目9-35,職員室×1,132.7567712,33.83059301
吉藤団地,よしふじだんち,愛媛県松山市吉藤2丁目1-1 外,団地集会所×1,132.7568926,33.86801794
余土公民館,よどこうみんかん,愛媛県松山市余戸東4丁目2-34,体育室入口横×1,132.7358316,33.81590006
余土児童クラブ,よどじどうくらぶ,愛媛県松山市余戸東4丁目1-19,児童クラブ内×1,132.7362751,33.81622794
余土小学校,よどしょうがっこう,愛媛県松山市余戸東1丁目14-17,22教室棟1階廊下×1、職員室前玄関×1、保健室×1、体育館入口×1,132.7364616,33.81500068
余土中学校,よどちゅうがっこう,愛媛県松山市保免西4丁目5-23,体育館×1、武道場入口×1、保健室×1、国旗掲揚台後×1,132.7417283,33.81366181
余土保育園,よどほいくえん,愛媛県松山市余戸東4丁目1-19,事務室×1,132.7363757,33.81623906
余土南団地,よどみなみだんち,愛媛県松山市余戸南6丁目2-8,団地集会所×1,132.7217641,33.80946523
与力団地,よりきだんち,愛媛県松山市平井町3645、110,団地集会所×1,132.8375972,33.80854308
和気公民館,わけこうみんかん,愛媛県松山市太山寺町1226-1,玄関ロビー×1,132.7321638,33.88816019
和気児童クラブ,わけじどうくらぶ,愛媛県松山市太山寺町1111-1,児童クラブ内×1,132.7313264,33.88965706
和気小学校,わけしょうがっこう,愛媛県松山市太山寺町671-3,職員室×1、体育館×1、保健室×1、運動場体育倉庫×1,132.7331903,33.88975887
